strategy,metric,factor,bootstrap_resamples,rank1_probability,median_rank,rank_95_low,rank_95_high,loo_rank_min,loo_rank_max
credibility,participation_rate,memory_half_life,10000,1.0,1.0,1.0,1.0,1,1
credibility,participation_rate,mixed_fake_probability,10000,1.0,1.0,1.0,1.0,1,1
credibility,participation_rate,source_attribute_contrast,10000,1.0,1.0,1.0,1.0,1,1
credibility,participation_rate,target_fake_probability,10000,1.0,1.0,1.0,1.0,1,1
credibility,participation_rate,target_reach,10000,1.0,1.0,1.0,1.0,1,1
credibility,participation_rate,traditional_fake_probability,10000,1.0,1.0,1.0,1.0,1,1
credibility,participation_rate,unknown_fake_probability,10000,1.0,1.0,1.0,1.0,1,1
credibility,participation_rate,wom_receiver_scale,10000,1.0,1.0,1.0,1.0,1,1
credibility,cumulative_fake_reposts,base,10000,0.5468,1.0,1.0,9.0,1,9
credibility,cumulative_fake_reposts,contacts,10000,0.0975,7.0,1.0,9.0,4,9
credibility,cumulative_fake_reposts,memory_half_life,10000,0.0022,6.0,2.0,7.0,3,7
credibility,cumulative_fake_reposts,mixed_fake_probability,10000,0.0,7.0,4.0,10.0,4,10
credibility,cumulative_fake_reposts,source_attribute_contrast,10000,0.0398,3.0,1.0,5.0,3,5
credibility,cumulative_fake_reposts,target_fake_probability,10000,0.0,8.0,5.0,10.0,5,9
credibility,cumulative_fake_reposts,target_reach,10000,0.0,5.0,2.0,8.0,2,8
credibility,cumulative_fake_reposts,traditional_fake_probability,10000,0.0,10.0,7.0,10.0,7,10
credibility,cumulative_fake_reposts,unknown_fake_probability,10000,0.2976,3.0,1.0,9.0,1,8
credibility,cumulative_fake_reposts,wom_receiver_scale,10000,0.0161,4.0,2.0,6.0,2,6
credibility,target_unique_reposters_p400,base,10000,0.275,2.0,1.0,4.0,1,4
credibility,target_unique_reposters_p400,contacts,10000,0.0898,6.0,1.0,7.0,4,7
credibility,target_unique_reposters_p400,memory_half_life,10000,0.6258,1.0,1.0,3.0,1,2
credibility,target_unique_reposters_p400,mixed_fake_probability,10000,0.0,9.0,8.0,9.0,9,9
credibility,target_unique_reposters_p400,source_attribute_contrast,10000,0.0,4.0,3.0,5.0,3,5
credibility,target_unique_reposters_p400,target_fake_probability,10000,0.0,10.0,9.0,10.0,10,10
credibility,target_unique_reposters_p400,target_reach,10000,0.0094,3.0,2.0,3.0,2,3
credibility,target_unique_reposters_p400,traditional_fake_probability,10000,0.0,8.0,7.0,8.0,8,8
credibility,target_unique_reposters_p400,unknown_fake_probability,10000,0.0,7.0,6.0,9.0,6,7
credibility,target_unique_reposters_p400,wom_receiver_scale,10000,0.0,5.0,5.0,6.0,5,6
combined,fake_repost_share_all,base,10000,0.1478,4.0,1.0,8.0,1,6
combined,fake_repost_share_all,contacts,10000,0.1848,4.0,1.0,6.0,2,4
combined,fake_repost_share_all,memory_half_life,10000,0.6535,1.0,1.0,3.0,1,3
combined,fake_repost_share_all,mixed_fake_probability,10000,0.0,8.0,5.0,10.0,7,10
combined,fake_repost_share_all,source_attribute_contrast,10000,0.0,6.0,4.0,7.0,5,6
combined,fake_repost_share_all,target_fake_probability,10000,0.0,9.0,7.0,10.0,7,10
combined,fake_repost_share_all,target_reach,10000,0.0138,3.0,2.0,4.0,2,4
combined,fake_repost_share_all,traditional_fake_probability,10000,0.0,7.0,6.0,8.0,7,8
combined,fake_repost_share_all,unknown_fake_probability,10000,0.0,9.0,9.0,10.0,9,10
combined,fake_repost_share_all,wom_receiver_scale,10000,0.0001,5.0,2.0,6.0,4,6
combined,fake_repost_share_final100,base,10000,0.0,4.0,3.0,8.0,3,8
combined,fake_repost_share_final100,contacts,10000,0.0964,5.0,1.0,10.0,4,8
combined,fake_repost_share_final100,memory_half_life,10000,0.9034,1.0,1.0,3.0,1,1
combined,fake_repost_share_final100,mixed_fake_probability,10000,0.0,6.0,4.0,10.0,5,10
combined,fake_repost_share_final100,source_attribute_contrast,10000,0.0,7.0,3.0,8.0,5,8
combined,fake_repost_share_final100,target_fake_probability,10000,0.0,9.0,7.0,9.0,9,9
combined,fake_repost_share_final100,target_reach,10000,0.0001,2.0,2.0,5.0,2,3
combined,fake_repost_share_final100,traditional_fake_probability,10000,0.0,6.0,4.0,9.0,4,7
combined,fake_repost_share_final100,unknown_fake_probability,10000,0.0,10.0,6.0,10.0,8,10
combined,fake_repost_share_final100,wom_receiver_scale,10000,0.0001,3.0,2.0,7.0,2,6
combined,target_share_all,base,10000,0.0,4.0,2.0,7.0,4,7
combined,target_share_all,contacts,10000,0.1403,3.0,1.0,6.0,2,3
combined,target_share_all,memory_half_life,10000,0.8537,1.0,1.0,3.0,1,1
combined,target_share_all,mixed_fake_probability,10000,0.0,9.0,8.0,10.0,9,10
combined,target_share_all,source_attribute_contrast,10000,0.0,5.0,4.0,6.0,5,6
combined,target_share_all,target_fake_probability,10000,0.0,10.0,8.0,10.0,8,10
combined,target_share_all,target_reach,10000,0.006,2.0,2.0,4.0,2,3
combined,target_share_all,traditional_fake_probability,10000,0.0,7.0,4.975000000000023,7.0,6,7
combined,target_share_all,unknown_fake_probability,10000,0.0,8.0,8.0,10.0,8,9
combined,target_share_all,wom_receiver_scale,10000,0.0,5.0,2.0,6.0,4,6
combined,target_share_final100,base,10000,0.0002,3.0,2.0,6.0,2,6
combined,target_share_final100,contacts,10000,0.0994,6.0,1.0,7.0,4,7
combined,target_share_final100,memory_half_life,10000,0.7125,1.0,1.0,4.0,1,2
combined,target_share_final100,mixed_fake_probability,10000,0.0,8.0,8.0,10.0,8,10
combined,target_share_final100,source_attribute_contrast,10000,0.0001,5.0,3.0,7.0,4,6
combined,target_share_final100,target_fake_probability,10000,0.0,10.0,8.0,10.0,9,10
combined,target_share_final100,target_reach,10000,0.0007,4.0,2.0,7.0,3,7
combined,target_share_final100,traditional_fake_probability,10000,0.0,5.0,3.0,9.0,3,8
combined,target_share_final100,unknown_fake_probability,10000,0.0,9.0,6.0,10.0,7,9
combined,target_share_final100,wom_receiver_scale,10000,0.1871,2.0,1.0,7.0,1,6
combined,fake_repost_share_decisions,base,10000,0.1559,4.0,1.0,8.0,1,6
combined,fake_repost_share_decisions,contacts,10000,0.1954,4.0,1.0,6.0,2,4
combined,fake_repost_share_decisions,memory_half_life,10000,0.6303,1.0,1.0,3.0,1,3
combined,fake_repost_share_decisions,mixed_fake_probability,10000,0.0,8.0,5.0,10.0,7,10
combined,fake_repost_share_decisions,source_attribute_contrast,10000,0.0,5.0,4.0,7.0,5,6
combined,fake_repost_share_decisions,target_fake_probability,10000,0.0,9.0,7.0,10.0,7,10
combined,fake_repost_share_decisions,target_reach,10000,0.0184,3.0,2.0,4.0,2,4
combined,fake_repost_share_decisions,traditional_fake_probability,10000,0.0,8.0,6.0,8.0,7,8
combined,fake_repost_share_decisions,unknown_fake_probability,10000,0.0,9.0,9.0,10.0,9,10
combined,fake_repost_share_decisions,wom_receiver_scale,10000,0.0,5.0,2.0,6.0,4,6
combined,target_share_decisions,base,10000,0.0,4.0,2.0,7.0,4,7
combined,target_share_decisions,contacts,10000,0.1448,3.0,1.0,6.0,2,3
combined,target_share_decisions,memory_half_life,10000,0.8481,1.0,1.0,3.0,1,1
combined,target_share_decisions,mixed_fake_probability,10000,0.0,9.0,9.0,10.0,9,10
combined,target_share_decisions,source_attribute_contrast,10000,0.0,5.0,4.0,6.0,5,6
combined,target_share_decisions,target_fake_probability,10000,0.0,10.0,8.0,10.0,8,10
combined,target_share_decisions,target_reach,10000,0.0071,2.0,2.0,4.0,2,3
combined,target_share_decisions,traditional_fake_probability,10000,0.0,7.0,5.0,7.0,6,7
