policy,wom,wom_fake_effect,wom_true_effect,wom_label_delay,wom_label_coverage,wom_label_sensitivity,wom_label_specificity,wom_receiver_scale
disabled,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.5
discovery,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
flag_only,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.5
imperfect_delayed,1.0,-1.0,0.0,25.0,0.5,0.75,0.9,0.5
imperfect_fast,1.0,-1.0,0.0,5.0,0.8,0.9,0.95,0.5
oracle,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.5
