strategy,factor,metric,n,mu,mu_star,sigma
credibility,mixed_fake_probability,target_share_final100,80,0.0008469999999999994,0.001032999999999999,0.007086139867928661
credibility,mixed_fake_probability,target_unique_reposters_p400,80,6.599999999999997,10.899999999999995,53.71127689622341
credibility,source_attribute_contrast,cumulative_fake_reposts,80,-36.15,300.35,1041.2019235333846
credibility,source_attribute_contrast,fake_repost_share_all,80,-0.00018074999999999897,0.001501749999999999,0.005206009617666908
credibility,source_attribute_contrast,fake_repost_share_decisions,80,-0.0001808003686321783,0.0015020211263932059,0.005206949689032364
credibility,source_attribute_contrast,fake_repost_share_final100,80,-0.0013300000000000054,0.0016299999999999973,0.007707559990856912
credibility,source_attribute_contrast,participation_rate,80,0.0,0.0,0.0
credibility,source_attribute_contrast,target_share_all,80,-0.0006095,0.0015394999999999999,0.005411634887157366
credibility,source_attribute_contrast,target_share_decisions,80,-0.0006096246977864084,0.0015397940824671424,0.005412731326720396
credibility,source_attribute_contrast,target_share_final100,80,-0.0016060000000000002,0.0024800000000000004,0.011742111771770843
credibility,source_attribute_contrast,target_unique_reposters_p400,80,-7.7,29.0,100.19479761122547
credibility,target_fake_probability,cumulative_fake_reposts,80,211.3,224.8,1636.2461236669712
credibility,target_fake_probability,fake_repost_share_all,80,0.0010565000000000116,0.0011240000000000167,0.008181230618334862
credibility,target_fake_probability,fake_repost_share_decisions,80,0.001056667811886422,0.0011241784310681555,0.00818249876127756
credibility,target_fake_probability,fake_repost_share_final100,80,0.0005310000000000043,0.0005370000000000007,0.0022395386052839025
credibility,target_fake_probability,participation_rate,80,0.0,0.0,0.0
credibility,target_fake_probability,target_share_all,80,0.00047950000000000016,0.0005280000000000001,0.0043985302205698015
credibility,target_fake_probability,target_share_decisions,80,0.0004795745853589277,0.000528081966482524,0.004399212060180673
credibility,target_fake_probability,target_share_final100,80,0.0007149999999999998,0.0008030000000000001,0.006477434638317155
credibility,target_fake_probability,target_unique_reposters_p400,80,6.4,8.5,61.94681262935737
