condition,strategy,window,window_start,window_end,source,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,post_26_50,126,150,MIXED_SOURCE,30,2.4000000000000265e-05,0.00022138207467748116,-0.0004287771813672199,0.0004767771813672204,0.019792842155016126,0.9144172041569324
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,post_51_100,151,200,TRADITIONAL_MEDIA,30,-0.00015733333333333154,0.0001327472175030027,-0.00042883187748110987,0.0001141652108144468,-0.2163887558501829,0.24555610614431025
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,post_51_100,151,200,UNKNOWN_MEDIA,30,0.00010666666666666833,7.705697747626688e-05,-5.0932547800944735e-05,0.0002642658811342814,0.2527296094426267,0.1768403740542563
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,post_51_100,151,200,FAKE_NEWS_SOURCE,30,5.33333333333329e-06,2.0721099987074278e-05,-3.704607457782659e-05,4.7712741244493174e-05,0.046992147701024306,0.7986979298278181
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,post_51_100,151,200,MIXED_SOURCE,30,4.5333333333333335e-05,4.533333333333333e-05,-4.738374377668252e-05,0.0001380504104433492,0.18257418583505539,0.3255819880161935
credibility_p1_permanent,CREDIBILITY_CAMOUFLAGE,during,1,400,TRADITIONAL_MEDIA,30,0.001476499999999988,0.00043650816308149677,0.0005837405658328149,0.0023692594341671613,0.6175618423317499,0.0020726932988927582
credibility_p1_permanent,CREDIBILITY_CAMOUFLAGE,during,1,400,UNKNOWN_MEDIA,30,-0.0012238333333333337,0.00028041212315493857,-0.0017973405196231801,-0.0006503261470434873,-0.7968285105408079,0.0001475967220491477
credibility_p1_permanent,CREDIBILITY_CAMOUFLAGE,during,1,400,FAKE_NEWS_SOURCE,30,0.0004793333333333333,0.00013751211719510007,0.00019808947509348846,0.0007605771915731781,0.6364085933807068,0.0015825778911338659
credibility_p1_permanent,CREDIBILITY_CAMOUFLAGE,during,1,400,MIXED_SOURCE,30,-0.0007319999999999999,0.00012740685125661985,-0.000992576268800831,-0.00047142373119916876,-1.0489569651327253,3.2097304935709658e-06
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,during,101,125,TRADITIONAL_MEDIA,30,0.00037866666666667157,0.00028660025961652514,-0.00020749667974397394,0.0009648300130773171,0.24122364181402023,0.1967529192281485
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,during,101,125,UNKNOWN_MEDIA,30,-0.0008159999999999995,0.0005691262914610286,-0.0019799939614131516,0.00034799396141315243,-0.2617706085216178,0.16233104141114713
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,during,101,125,FAKE_NEWS_SOURCE,30,0.0005013333333333333,0.00015246309772722836,0.00018951128653023076,0.0008131553801364359,0.6003454378781217,0.0026460614572771613
