condition,point,strategy,memory_half_life,contacts,target_reach,wom_receiver_scale,base,traditional_fake_probability,unknown_fake_probability,target_fake_probability,mixed_fake_probability,source_attribute_contrast,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,control_mean,treatment_mean,relative_effect_percent,p_holm
m01_credibility,1,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,fake_repost_share_all,10,6.450000000000067e-05,3.361919094802936e-05,-1.1551893610564518e-05,0.00014055189361056585,0.6066978512248178,0.08725933162688443,0.1315125,0.131577,0.04904476760764236,1.0
m01_credibility,1,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,fake_repost_share_final100,10,-4.000000000004e-06,1.1469767022722871e-05,-2.9946415626083186e-05,2.1946415626075185e-05,-0.11028219331418751,0.7353018404224996,0.121556,0.121552,-0.0032906643851426504,1.0
m01_credibility,1,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,target_share_all,10,0.00017,3.58856207662314e-05,8.882108594220964e-05,0.0002511789140577904,1.4980574133874187,0.0010629903487740233,0.0006455,0.0008155,26.336173508907823,0.05846446918257128
m01_credibility,1,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,target_share_final100,10,3.2e-05,1.9821424996424675e-05,-1.2839178532529462e-05,7.683917853252946e-05,0.5105227557738204,0.14089470798331993,9.400000000000001e-05,0.000126,34.042553191489354,1.0
m01_credibility,1,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,fake_repost_share_decisions,10,6.451148709549493e-05,3.3625961348662396e-05,-1.1555722225357299e-05,0.00014057869641634715,0.6066837237783219,0.08726557550641888,0.13153567581391512,0.13160018730101064,0.049044859272065464,1.0
m01_credibility,1,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,target_share_decisions,10,0.00017002865743620744,3.58922700761593e-05,8.883470159433601e-05,0.0002512226132780789,1.4980323725917863,0.0010631084496505925,0.000645613808134987,0.0008156424655711943,26.335969784688572,0.05847096473078259
m01_credibility,1,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,participation_rate,10,0.0,0.0,0.0,0.0,,,0.9998239999999999,0.9998239999999999,0.0,
m01_credibility,1,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,cumulative_fake_reposts,10,12.9,6.723838189605695,-2.310378722112638,28.11037872211264,0.6066978512248274,0.08725933162688007,26302.5,26315.4,0.049044767607641856,1.0
m01_credibility,1,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,target_unique_reposters_p400,10,3.8,0.9521904571390466,1.6459955370348083,5.954004462965191,1.2620012118946358,0.003153927969477252,33.4,37.2,11.377245508982035,0.2554681655276574
m01_combined,1,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,fake_repost_share_all,10,0.0007614999999999997,0.00013204386897290398,0.0004627960159993573,0.001060203984000642,1.8236927295067125,0.00027044014259720655,0.1315125,0.132274,0.5790324113677404,0.015955968413235187
m01_combined,1,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,fake_repost_share_final100,10,0.0002799999999999983,0.00014730165571974266,-5.32194955784527e-05,0.0006132194955784493,0.6011050863757987,0.08976439373156142,0.121556,0.12183600000000001,0.23034650695975376,1.0
m01_combined,1,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,target_share_all,10,0.0014800000000000002,0.00017785918275109913,0.0010776545757701663,0.001882345424229834,2.6313912302176474,1.614017676970481e-05,0.0006455,0.0021255,229.27962819519757,0.0013396346718854992
m01_combined,1,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,target_share_final100,10,0.000488,0.00019395761278061645,4.9237396969087853e-05,0.0009267626030309121,0.7956333737246281,0.032983687065327894,9.400000000000001e-05,0.000582,519.1489361702127,1.0
m01_combined,1,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,fake_repost_share_decisions,10,0.0007616352347614555,0.000132069593953575,0.0004628730568115253,0.0010603974127113857,1.8236613106646518,0.0002704739303972225,0.13153567581391512,0.13229731104867662,0.5790332014859213,0.015957961893436127
m01_combined,1,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,target_share_decisions,10,0.0014802613549859658,0.00017789481143277267,0.0010778353330786832,0.0018826873768932485,2.6313288040172362,1.614326223467788e-05,0.000645613808134987,0.002125875163120953,229.27969264815792,0.001339890765478264
m01_combined,1,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,participation_rate,10,0.0,0.0,0.0,0.0,,,0.9998239999999999,0.9998239999999999,0.0,
m01_combined,1,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,cumulative_fake_reposts,10,152.3,26.40877379458072,92.5592031998717,212.0407968001283,1.8236927295067187,0.00027044014259719994,26302.5,26454.8,0.5790324113677408,0.015955968413234795
m01_combined,1,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.425,0.75,target_unique_reposters_p400,10,37.0,4.115013163202923,27.691193497851607,46.30880650214839,2.843351133661008,8.604566301868364e-06,33.4,70.4,110.77844311377245,0.0006969698704513375
m02_credibility,2,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_all,10,6.700000000000317e-05,3.135991780034333e-05,-3.941062676806421e-06,0.00013794106267681278,0.6756159393663074,0.06137101742438386,0.1321785,0.13224550000000002,0.0506890303642447,1.0
m02_credibility,2,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_final100,10,-9.999999999998898e-06,1.12546286774225e-05,-3.545973887726429e-05,1.5459738877266495e-05,-0.28097574347448356,0.39738453884496266,0.12161200000000001,0.12160200000000002,-0.008222872742820525,1.0
m02_credibility,2,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_share_all,10,0.0001745,3.661701183269268e-05,9.166656440240764e-05,0.0002573334355975924,1.5069974967392188,0.0010217130001482445,0.000716,0.0008905,24.371508379888272,0.05721592800830169
m02_credibility,2,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_share_final100,10,3.2e-05,1.9821424996424675e-05,-1.2839178532529462e-05,7.683917853252946e-05,0.5105227557738204,0.14089470798331993,9.400000000000001e-05,0.000126,34.042553191489354,1.0
m02_credibility,2,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_decisions,10,6.701237983741392e-05,3.136640308646615e-05,-3.9433535758512e-06,0.00013796811325067905,0.6756010599315634,0.061375712967961536,0.13220178730055582,0.13226879968039323,0.05068946585802488,1.0
m02_credibility,2,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_share_decisions,10,0.00017452947259341423,3.662349451440199e-05,9.168137215095901e-05,0.00025737757303586945,1.506985227764345,0.001021768453101583,0.0007161258902459135,0.0008906553628393278,24.371339588557788,0.05721903337368865
m02_credibility,2,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,participation_rate,10,0.0,0.0,0.0,0.0,,,0.9998239999999999,0.9998239999999999,0.0,
m02_credibility,2,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,cumulative_fake_reposts,10,13.4,6.271983560069156,-0.7882125353630265,27.588212535363027,0.6756159393662227,0.06137101742441065,26435.7,26449.1,0.05068903036424229,1.0
m02_credibility,2,credibility,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_unique_reposters_p400,10,3.9,0.9,1.8640585534816156,5.935941446518385,1.3703203194062976,0.001895841983984997,34.7,38.6,11.239193083573486,0.15735488467075476
m02_combined,2,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_all,10,0.0008225000000000052,0.0001548318980916609,0.00047224591270231275,0.0011727540872976975,1.679869204954605,0.00048595288821849815,0.1321785,0.133001,0.6222645891729783,0.022839785746269412
m02_combined,2,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_final100,10,0.00027999999999999277,0.00015155490387608363,-6.284101136048325e-05,0.0006228410113604688,0.5842356282783742,0.09773657824378039,0.12161200000000001,0.12189199999999997,0.2302404367989941,1.0
m02_combined,2,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_share_all,10,0.0015970000000000001,0.00020584001338688038,0.0011313575393263903,0.00206264246067361,2.453438153347294,2.8254356853037975e-05,0.000716,0.002313,223.04469273743018,0.002288602905096076
m02_combined,2,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_share_final100,10,0.00048399999999999995,0.0001910625261240123,5.1786537986246326e-05,0.0009162134620137536,0.8010688535166082,0.0320664516675368,9.400000000000001e-05,0.0005780000000000002,514.8936170212764,1.0
m02_combined,2,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_decisions,10,0.0008226477098263199,0.00015486433254879278,0.00047232025068910514,0.0011729751689635347,1.6798189952181664,0.00048605476885912137,0.13220178730055582,0.13302443501038214,0.6222667080559668,0.022844574136378703
m02_combined,2,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_share_decisions,10,0.001597283236669269,0.0002058831846121492,0.0011315431158991905,0.0020630233574393474,2.4533587363125564,2.8261613882888407e-05,0.0007161258902459135,0.002313409126915182,223.04503417978242,0.002289190724513961
m02_combined,2,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,participation_rate,10,0.0,0.0,0.0,0.0,,,0.9998239999999999,0.9998239999999999,0.0,
m02_combined,2,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,cumulative_fake_reposts,10,164.5,30.966379618332308,94.44918254046122,234.5508174595388,1.6798692049545876,0.0004859528882185335,26435.7,26600.2,0.6222645891729744,0.022839785746271074
m02_combined,2,combined,0.6510704071726416,8.0,11.275,0.625,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_unique_reposters_p400,10,40.8,5.129002502111562,29.197390251838414,52.40260974816158,2.5155169739486998,2.3160035599060658e-05,34.7,75.5,117.57925072046108,0.0018064827767267314
m03_credibility,3,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_all,10,7.100000000000856e-05,3.353108010985235e-05,-4.852573046854354e-06,0.00014685257304687145,0.6695928468048704,0.06330043862345217,0.1317865,0.1318575,0.05387501754732735,1.0
m03_credibility,3,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_final100,10,4.000000000001225e-06,1.995550606279304e-05,-4.1142490977209064e-05,4.914249097721151e-05,0.06338656910466231,0.8455881711415513,0.121798,0.12180200000000001,0.003284126176128692,1.0
m03_credibility,3,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_share_all,10,0.00016550000000000007,4.42433296918555e-05,6.541463483152666e-05,0.00026558536516847346,1.1829058897757616,0.004620663000985614,0.0006584999999999999,0.0008240000000000001,25.132877752467742,0.12153914022058826
m03_credibility,3,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_share_final100,10,3.0000000000000004e-05,2.909753712372693e-05,-3.582320202422555e-05,9.582320202422556e-05,0.32603560020099825,0.32944329313107734,0.0001,0.00013,30.000000000000004,1.0
m03_credibility,3,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_decisions,10,7.101137681336106e-05,3.353658588008303e-05,-4.8536511510659036e-06,0.00014687640477778802,0.6695901941767203,0.06330130114906661,0.13180972117664325,0.13188073255345661,0.05387415751998746,1.0
m03_credibility,3,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_share_decisions,10,0.0001655264942595364,4.425062953422532e-05,6.54246157003588e-05,0.000265628372818714,1.1829000863322634,0.004620793876732522,0.0006586160210308751,0.0008241425152904115,25.132473091142238,0.1215432301139074
m03_credibility,3,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,participation_rate,10,0.0,0.0,0.0,0.0,,,0.9998239999999999,0.9998239999999999,0.0,
m03_credibility,3,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,cumulative_fake_reposts,10,14.2,6.706216021970461,-0.9705146093725645,29.370514609372563,0.6695928468047904,0.06330043862347816,26357.3,26371.5,0.05387501754732085,1.0
m03_credibility,3,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_unique_reposters_p400,10,4.1,1.369914839202301,1.0010373340749634,7.198962665925036,0.946433897616588,0.015129901873370983,34.8,38.9,11.781609195402298,0.9834436217691138
m03_combined,3,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_all,10,0.0006010000000000057,0.00014403857508011876,0.00027516210566326803,0.0009268378943367434,1.319458258111815,0.0024027070899240712,0.1317865,0.1323875,0.45604064149211465,0.06827934193815573
m03_combined,3,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_final100,10,8.399999999999658e-05,3.827386691841846e-05,-2.581502197488992e-06,0.00017058150219748217,0.6940279225517811,0.05582008341604317,0.121798,0.121882,0.06896664969867862,1.0
m03_combined,3,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_share_all,10,0.001211,0.0002460033875105517,0.000654501674870383,0.001767498325129617,1.556693298095194,0.0008215525501726514,0.0006584999999999999,0.0018695,183.9028094153379,0.026720406881317674
m03_combined,3,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_share_final100,10,0.000276,0.00012847135435142297,-1.4622394460457838e-05,0.0005666223944604578,0.6793643910836575,0.06019913242123983,0.0001,0.000376,276.0,1.0
m03_combined,3,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_decisions,10,0.0006011089252640142,0.00014406946323164467,0.0002752011570740566,0.0009270166934539719,1.319414456784546,0.002403201207969414,0.13180972117664325,0.13241083010190727,0.45604293818241615,0.06829893578056673
m03_combined,3,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_share_decisions,10,0.0012112161245492422,0.00024605604037032495,0.0006545986903757474,0.001767833558722737,1.5566379457838835,0.0008217504573620891,0.0006586160210308751,0.0018698321455801175,183.9032282654512,0.026727175508458552
m03_combined,3,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,participation_rate,10,0.0,0.0,0.0,0.0,,,0.9998239999999999,0.9998239999999999,0.0,
m03_combined,3,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,cumulative_fake_reposts,10,120.2,28.80771501602382,55.03242113265232,185.36757886734767,1.3194582581117995,0.0024027070899242512,26357.3,26477.5,0.4560406414921104,0.06827934193815045
m03_combined,3,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.125,0.2624999999999999,0.55,0.4875,0.75,target_unique_reposters_p400,10,29.9,7.251743085477985,13.495417436413621,46.30458256358638,1.3038534449514672,0.0025857764178062897,34.8,64.7,85.91954022988506,0.10356377754275704
m04_credibility,4,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_all,10,7.750000000000534e-05,3.710533055445972e-05,-6.438089291760802e-06,0.00016143808929177148,0.6604887087675071,0.0663285428590114,0.1568905,0.156968,0.04939750972812589,1.0
m04_credibility,4,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_final100,10,-2.7755575615628915e-18,1.333333333333649e-05,-3.016209550398598e-05,3.016209550398043e-05,-6.582812753579756e-14,0.9999999999998385,0.146208,0.146208,-1.8983623068251338e-15,1.0
m04_credibility,4,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,target_share_all,10,0.00020400000000000003,5.465447018415885e-05,8.036299879396415e-05,0.0003276370012060359,1.1803328080954076,0.004679074542713921,0.0007595,0.0009635000000000002,26.859776168531933,0.12153914022058826
m04_credibility,4,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,target_share_final100,10,2.999999999999999e-05,1.6397831834998458e-05,-7.0944727399022e-06,6.709447273990217e-05,0.5785419118799023,0.1005738053785815,0.000198,0.00022799999999999999,15.151515151515147,1.0
m04_credibility,4,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_decisions,10,7.751271709019736e-05,3.711137243365946e-05,-6.43903988187723e-06,0.00016146447406227197,0.6604895415049798,0.06632825959621004,0.15691814011417904,0.1569956528312692,0.04939691295971036,1.0
m04_credibility,4,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,target_share_decisions,10,0.0002040326477660682,5.466306635313946e-05,8.037620067480021e-05,0.0003276890948573362,1.1803360605631028,0.004679000219115825,0.0007596332490351612,0.0009636658968012295,26.85936246540258,0.1215432301139074
m04_credibility,4,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,participation_rate,10,0.0,0.0,0.0,0.0,,,0.9998239999999999,0.9998239999999999,0.0,
m04_credibility,4,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,cumulative_fake_reposts,10,15.5,7.421066110891494,-1.2876178583522098,32.287617858352206,0.6604887087675015,0.06632854285901332,31378.1,31393.6,0.049397509728122485,1.0
m04_credibility,4,credibility,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,target_unique_reposters_p400,10,4.6,1.5999999999999999,0.9805485395228719,8.219451460477128,0.909154827298409,0.01832673574097552,37.3,41.9,12.332439678284182,1.0
m04_combined,4,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_all,10,0.0007659999999999973,0.00014786780883237823,0.00043149977710255717,0.0011005002228974374,1.6381555301430586,0.0005791150855359265,0.1568905,0.1576565,0.48823861228053794,0.025747365290548517
m04_combined,4,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_final100,10,0.0002119999999999983,5.301572093885651e-05,9.207010713725327e-05,0.00033192989286274333,1.2645359755248304,0.0031159996454436564,0.146208,0.14642000000000002,0.1449989056686353,0.2430479723446052
m04_combined,4,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,target_share_all,10,0.0015775000000000001,0.0002504532003300328,0.0010109354989276827,0.0021440645010723175,1.9917864903870541,0.00014122173037961537,0.0007595,0.002337,207.70243581303492,0.00783566627529122
m04_combined,4,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,target_share_final100,10,0.00048400000000000006,9.98576764978815e-05,0.00025810624184993144,0.0007098937581500686,1.5327238137310017,0.0009122501864180172,0.000198,0.000682,244.4444444444445,0.07298001491344137
m04_combined,4,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_decisions,10,0.0007661355421164056,0.00014789618582719706,0.00043157112599687743,0.0011006999582359339,1.6381310281567627,0.0005791751710066432,0.15691814011417904,0.15768427565629542,0.48823898980636593,0.025743421243566916
m04_combined,4,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,target_share_decisions,10,0.0015777750016448453,0.00025050060878889925,0.001011103255187726,0.0021444467481019644,1.9917566925668575,0.00014123754003359323,0.0007596332490351612,0.0023374082506800063,207.70220414243803,0.007835343958099638
m04_combined,4,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,participation_rate,10,0.0,0.0,0.0,0.0,,,0.9998239999999999,0.9998239999999999,0.0,
m04_combined,4,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,cumulative_fake_reposts,10,153.2,29.573561766475738,86.29995542051176,220.1000445794882,1.638155530143059,0.0005791150855359236,31378.1,31531.3,0.4882386122805396,0.025747365290549627
m04_combined,4,combined,0.6510704071726416,8.0,11.275,0.8125,1.25,0.15,0.2624999999999999,0.55,0.4875,0.75,target_unique_reposters_p400,10,40.9,6.935336249158283,25.21117942755255,56.588820572447446,1.864901017835781,0.00022982953504700973,37.3,78.2,109.65147453083111,0.01608806745329068
m05_credibility,5,credibility,0.6510704071726416,8.0,11.275,0.8125,1.325,0.15,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_all,10,0.00012050000000000393,3.133554956701521e-05,4.961406209676228e-05,0.0001913859379032456,1.2160452371686248,0.00393345493657419,0.156487,0.1566075,0.07700320154390074,0.2596080258138965
m05_credibility,5,credibility,0.6510704071726416,8.0,11.275,0.8125,1.325,0.15,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_final100,10,5.999999999997674e-06,4.2687494916202445e-06,-3.656582238662257e-06,1.5656582238657604e-05,0.44447831849231534,0.1934220596033322,0.145362,0.145368,0.004127626202169532,1.0
m05_credibility,5,credibility,0.6510704071726416,8.0,11.275,0.8125,1.325,0.15,0.2624999999999999,0.55,0.4875,0.75,target_share_all,10,0.00020499999999999997,2.721315041584777e-05,0.00014343957686448498,0.00026656042313551496,2.382182549349357,3.566818668688847e-05,0.0006219999999999999,0.0008269999999999999,32.958199356913184,0.0030674640550724082
m05_credibility,5,credibility,0.6510704071726416,8.0,11.275,0.8125,1.325,0.15,0.2624999999999999,0.55,0.4875,0.75,target_share_final100,10,2.6e-05,1.5790292376436012e-05,-9.720123002032616e-06,6.172012300203262e-05,0.5206947230886889,0.13405041838332857,8.4e-05,0.00010999999999999999,30.952380952380953,1.0
m05_credibility,5,credibility,0.6510704071726416,8.0,11.275,0.8125,1.325,0.15,0.2624999999999999,0.55,0.4875,0.75,fake_repost_share_decisions,10,0.00012052132135675076,3.1341565579866846e-05,4.96217742869453e-05,0.00019142086842655623,1.21602694392922,0.00393380300580733,0.156514559395276,0.15663508071663274,0.0770032652696388,0.2596309983832838
m05_credibility,5,credibility,0.6510704071726416,8.0,11.275,0.8125,1.325,0.15,0.2624999999999999,0.55,0.4875,0.75,target_share_decisions,10,0.00020503466599381114,2.7217670387640166e-05,0.00014346401797173033,0.00026660531401589196,2.382189712043647,3.566734184883031e-05,0.0006221077091622825,0.0008271423751560937,32.95806545620639,0.003067391398999407
m05_credibility,5,credibility,0.6510704071726416,8.0,11.275,0.8125,1.325,0.15,0.2624999999999999,0.55,0.4875,0.75,participation_rate,10,0.0,0.0,0.0,0.0,,,0.9998239999999999,0.9998239999999999,0.0,
m05_credibility,5,credibility,0.6510704071726416,8.0,11.275,0.8125,1.325,0.15,0.2624999999999999,0.55,0.4875,0.75,cumulative_fake_reposts,10,24.1,6.267109913402401,9.922812419353122,38.27718758064688,1.2160452371687096,0.003933454936572582,31297.4,31321.5,0.07700320154389821,0.2596080258137904
m05_credibility,5,credibility,0.6510704071726416,8.0,11.275,0.8125,1.325,0.15,0.2624999999999999,0.55,0.4875,0.75,target_unique_reposters_p400,10,3.1,0.9243616415908033,1.0089486914594574,5.191051308540542,1.0605222356102049,0.008474022906336752,32.8,35.9,9.451219512195124,0.6186036721625828
