policy,diagnostic_strategy,receivers_with_recommendation_mean,receivers_with_recommendation_std,contact_recommendations_mean,contact_recommendations_std,duplicate_source_recommendations_mean,duplicate_source_recommendations_std,exact_maximum_ties_mean,exact_maximum_ties_std,new_source_discoveries_mean,new_source_discoveries_std,labels_covered_mean,labels_covered_std,labels_uncovered_mean,labels_uncovered_std,true_positive_labels_mean,true_positive_labels_std,false_negative_labels_mean,false_negative_labels_std,true_negative_labels_mean,true_negative_labels_std,false_positive_labels_mean,false_positive_labels_std,rewarded_recommendations_mean,rewarded_recommendations_std,penalized_recommendations_mean,penalized_recommendations_std,ignored_recommendations_mean,ignored_recommendations_std,endorsements_scheduled_mean,endorsements_scheduled_std,endorsements_delivered_mean,endorsements_delivered_std,receiver_period_rate_mean,receiver_period_rate_std,mean_contacts_per_receiver_mean,mean_contacts_per_receiver_std,duplicate_rate_mean,duplicate_rate_std,tie_rate_mean,tie_rate_std,discovery_rate_mean,discovery_rate_std,realised_coverage_mean,realised_coverage_std,realised_sensitivity_mean,realised_sensitivity_std,realised_specificity_mean,realised_specificity_std,reward_rate_mean,reward_rate_std,penalty_rate_mean,penalty_rate_std,ignore_rate_mean,ignore_rate_std,delivery_completion_mean,delivery_completion_std
disabled,combined,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
disabled,control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
discovery,combined,200000.0,0.0,999825.2,31.59703172441584,544708.9333333333,13380.39871302569,258.3,17.722282876221882,711.7333333333333,45.80764379320395,200000.0,0.0,0.0,0.0,31338.933333333334,2530.4792095342455,0.0,0.0,168661.06666666668,2530.479209534242,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.999126,0.00015798515862199675,0.5448040758023708,0.013379073881083196,0.0012915000000000001,8.861141438110943e-05,0.0035586666666666666,0.0002290382189660199,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
discovery,control,200000.0,0.0,999825.2,31.59703172441584,570076.1333333333,10095.55233150523,258.4,17.707586529215522,634.1333333333333,33.726826867861625,200000.0,0.0,0.0,0.0,26646.266666666666,2393.120455105359,0.0,0.0,173353.73333333334,2393.120455105358,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.999126,0.00015798515862199675,0.5701757349351281,0.010093540702200329,0.0012920000000000002,8.853793264607763e-05,0.0031706666666666667,0.00016863413433930804,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
flag_only,combined,200000.0,0.0,999825.2,31.59703172441584,402365.4,2585.5238594115194,258.4,18.03942043567843,1202.1,15.004252270836329,200000.0,0.0,0.0,0.0,75310.43333333333,1733.8701912859212,0.0,0.0,124689.56666666667,1733.8701912859212,0.0,0.0,0.0,0.0,75310.43333333333,1733.8701912859212,124689.56666666667,1733.8701912859212,75310.43333333333,1733.8701912859212,75106.9,1779.4670327628025,1.0,0.0,4.999126,0.00015798515862199675,0.40243575502226114,0.002587452349150985,0.0012920000000000002,9.019710217839212e-05,0.0060105,7.502126135418153e-05,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.37655216666666663,0.00866935095642962,0.6234478333333333,0.00866935095642961,0.9972835668904966,0.0017537604328668767
flag_only,control,200000.0,0.0,999825.2,31.59703172441584,411631.9666666667,3977.283490570893,258.2,18.27642159195548,1202.1,15.004252270836329,200000.0,0.0,0.0,0.0,47328.5,2511.837145363447,0.0,0.0,152671.5,2511.8371453634472,0.0,0.0,0.0,0.0,47328.5,2511.837145363447,152671.5,2511.8371453634472,47328.5,2511.837145363447,47205.066666666666,2544.1509651224187,1.0,0.0,4.999126,0.00015798515862199675,0.4117039590680211,0.003980851775886811,0.001291,9.13821079597774e-05,0.0060105,7.502126135418153e-05,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.23664249999999998,0.012559185726817227,0.7633575,0.012559185726817237,0.9973516072127878,0.00252895644464316
imperfect_delayed,combined,200000.0,0.0,999825.2,31.59703172441584,453323.43333333335,4122.97113895352,258.3,17.83671146433862,1202.1,15.004252270836329,100021.3,245.51313610477328,99978.7,245.51313610477328,29730.433333333334,1217.8435062630692,9901.333333333334,388.42372289259964,54350.4,1418.1290880398842,6039.133333333333,194.7170773966296,0.0,0.0,35769.566666666666,1037.0222184742208,64251.73333333333,1045.6334471252965,35769.566666666666,1037.0222184742208,32971.63333333333,955.229471738682,1.0,0.0,4.999126,0.00015798515862199675,0.4534026601140475,0.00412049764526579,0.0012915000000000001,8.91835573216931e-05,0.0060105,7.502126135418153e-05,0.5001065,0.0012275656805238507,0.7501486278872634,0.001978642556028724,0.9000074133080794,0.0010770942466601,0.0,0.0,0.3576195239537055,0.010327788414600782,0.6423804760462946,0.010327788414600775,0.9218192585939097,0.008929168058218048
imperfect_delayed,control,200000.0,0.0,999825.2,31.59703172441584,464449.36666666664,9508.585400005371,257.6666666666667,17.862179913559487,1179.6666666666667,22.49955299683691,100021.3,245.51313610477328,99978.7,245.51313610477328,13117.466666666667,863.2342045783524,4356.466666666666,298.7256535551543,74283.56666666667,980.6291676101691,8263.8,158.43706462906863,0.0,0.0,21381.266666666666,740.2498615138436,78640.03333333334,700.7744230164432,21381.266666666666,740.2498615138436,19892.033333333333,722.3237159160094,1.0,0.0,4.999126,0.00015798515862199675,0.46453053928961896,0.009508836469413466,0.0012883333333333332,8.931089956779739e-05,0.0058983333333333336,0.00011249776498418454,0.5001065,0.0012275656805238507,0.7507036876946551,0.0034392935233481044,0.8998936003595085,0.0010699316478982176,0.0,0.0,0.21376271216420145,0.007243465926326555,0.7862372878357985,0.007243465926326535,0.9303260148797573,0.00761960495538931
imperfect_fast,combined,200000.0,0.0,999825.2,31.59703172441584,411924.2,3074.194544356574,258.53333333333336,18.176781956629465,1202.1,15.004252270836329,159970.53333333333,172.16466322787534,40029.46666666667,172.16466322787556,56463.3,1327.2737978588884,6262.5,164.97601706580429,92376.83333333333,1378.2957513396448,4867.9,97.45108410430046,0.0,0.0,61331.2,1254.6549024085991,98639.33333333333,1231.6745912986012,61331.2,1254.6549024085991,60263.566666666666,1301.3946281435626,1.0,0.0,4.999126,0.00015798515862199675,0.41199620680270876,0.0030733010127331093,0.0012926666666666668,9.088390978314737e-05,0.0060105,7.502126135418153e-05,0.7998526666666667,0.0008608233161393928,0.9001604025355775,0.0012250143688574153,0.9499417534637031,0.0006737725587735147,0.0,0.0,0.38338939730068666,0.007772137890277134,0.6166106026993133,0.007772137890277147,0.9825759572074474,0.0034826468191567644
imperfect_fast,control,200000.0,0.0,999825.2,31.59703172441584,422316.1,6811.303649335293,257.76666666666665,18.218375213017726,1202.1,15.004252270836329,159970.53333333333,172.16466322787534,40029.46666666667,172.16466322787556,31600.066666666666,1938.0775211948878,3510.1666666666665,217.5420820698018,118624.9,2040.614264348379,6235.4,129.13307757556913,0.0,0.0,37835.46666666667,1833.2065506841464,122135.06666666667,1830.925466633696,37835.46666666667,1833.2065506841464,37141.433333333334,1841.9878258486708,1.0,0.0,4.999126,0.00015798515862199675,0.42238987667484,0.0068087762898851436,0.0012888333333333332,9.109187606508865e-05,0.0060105,7.502126135418153e-05,0.7998526666666667,0.0008608233161393928,0.900017806563436,0.0016223777694679207,0.9500607738965755,0.0005981422646178478,0.0,0.0,0.236514767346388,0.01145038842747344,0.7634852326536119,0.011450388427473422,0.9816160491968501,0.005194439477245924
