policy,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,control_mean,treatment_mean
disabled,receiver_period_rate,30,0.0,0.0,0.0,0.0,,,0.0,0.0
disabled,fake_repost_share_decisions,30,0.011818897845130268,0.0005119494375331686,0.010771843680214267,0.01286595201004627,4.21491946927385,3.248740400245586e-20,0.1557495343046762,0.16756843214980646
disabled,target_share_decisions,30,0.02256664953244694,0.0009846784327920653,0.020552756013731834,0.024580543051162043,4.184196107280408,3.973939370278083e-20,0.01822033893917687,0.040786988471623827
disabled,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9301333333333335,0.9301333333333335
disabled,selections_traditional_media_all,30,-2935.233333333333,166.97101877604723,-3276.727410311201,-2593.7392563554654,-3.209526060256189,5.248766780628609e-17,118761.7,115826.46666666666
disabled,selections_unknown_media_all,30,-970.2,123.76784348311062,-1223.3336622344987,-717.0663377655013,-1.431175256126543,1.2065507397126269e-08,51603.86666666667,50633.666666666664
disabled,selections_fake_news_source_all,30,4200.9,186.71078101471923,3819.033576162948,4582.766423837052,4.107828659417476,6.595637011148686e-20,3388.3333333333335,7589.233333333334
disabled,selections_mixed_source_all,30,-295.46666666666664,74.43253109913537,-447.69828560958257,-143.2350477237507,-0.7247447495264739,0.00043447542967483074,12272.766666666666,11977.3
oracle,receiver_period_rate,30,0.0,0.0,0.0,0.0,,,1.0,1.0
oracle,mean_contacts_per_receiver,30,0.0,0.0,0.0,0.0,,,4.999122333333332,4.999122333333332
oracle,duplicate_rate,30,-0.0022044636618426114,0.0002688673269989718,-0.0027543590888218948,-0.001654568234863328,-1.4969396347121744,4.854262635881312e-09,0.7748411765082558,0.7726367128464131
oracle,tie_rate,30,2.1666666666666797e-06,1.584467228587402e-06,-1.0739326762281284e-06,5.407266009561488e-06,0.24965956726999708,0.18199246379274958,0.0012426666666666667,0.0012448333333333335
oracle,discovery_rate,30,0.0004073333333333333,3.9241173935048967e-05,0.0003270761212092859,0.00048759054545738064,1.895166332686824,2.8112264460987402e-11,0.002797833333333333,0.0032051666666666665
oracle,realised_coverage,30,0.0,0.0,0.0,0.0,,,1.0,1.0
oracle,realised_sensitivity,30,0.0,0.0,0.0,0.0,,,1.0,1.0
oracle,realised_specificity,30,0.0,0.0,0.0,0.0,,,1.0,1.0
oracle,reward_rate,30,-0.00046733333333334184,6.01944804689489e-05,-0.0005904448690812142,-0.0003442217975854695,-1.4174555903166401,1.4619754779719574e-08,0.9067513333333334,0.9062840000000001
oracle,penalty_rate,30,0.00046733333333333327,6.019448046895362e-05,0.00034422179758545127,0.0005904448690812153,1.4174555903165031,1.4619754779747663e-08,0.09324866666666669,0.09371599999999998
oracle,ignore_rate,30,0.0,0.0,0.0,0.0,,,0.0,0.0
oracle,delivery_completion,30,0.0,0.0,0.0,0.0,,,0.9974999999999998,0.9974999999999998
oracle,fake_repost_share_decisions,30,0.0014912646581507689,0.00018490651800802025,0.0011130883664972214,0.0018694409498043164,1.4724544800235726,6.79990421393401e-09,0.0982122798275919,0.09970354448574266
oracle,target_share_decisions,30,0.002528782874498137,0.00029417560911677995,0.0019271261987400552,0.0031304395502562187,1.5694383224064283,1.8140634182785443e-09,0.0022172240699482957,0.004746006944446432
oracle,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9998253333333335,0.9998253333333335
oracle,selections_traditional_media_all,30,-453.8,55.604791821957384,-567.5245684788854,-340.07543152111464,-1.4900184465618522,5.3382400360129275e-09,194234.93333333332,193781.13333333333
oracle,selections_unknown_media_all,30,-65.8,25.29328655646763,-117.53057941224421,-14.069420587755793,-0.4749632437495457,0.01446399467008985,3276.9666666666667,3211.1666666666665
oracle,selections_fake_news_source_all,30,505.6666666666667,58.82423328404663,385.35760107840537,625.9757322549281,1.569449779732718,1.8137842156179967e-09,443.3666666666667,949.0333333333333
oracle,selections_mixed_source_all,30,13.933333333333334,11.094467227638022,-8.757399904301778,36.624066570968445,0.2292914961220137,0.2191833517803287,2009.8,2023.7333333333333
discovery,receiver_period_rate,30,0.0,0.0,0.0,0.0,,,1.0,1.0
discovery,mean_contacts_per_receiver,30,0.0,0.0,0.0,0.0,,,4.999125999999999,4.999125999999999
discovery,duplicate_rate,30,-0.025371659132757345,0.0011586295014679303,-0.027741322533408993,-0.023001995732105696,-3.9980079944269695,1.387344184792871e-19,0.5701757349351281,0.5448040758023706
discovery,tie_rate,30,-5.000000000000014e-07,2.785430072655785e-07,-1.0696844150683475e-06,6.968441506834471e-08,-0.32773069341672506,0.08307466551442913,0.001292,0.0012915000000000001
discovery,discovery_rate,30,0.00038799999999999994,1.712966104032188e-05,0.0003529659094806479,0.00042303409051935197,4.135445759098941,5.486103991365099e-20,0.003170666666666667,0.0035586666666666666
discovery,realised_coverage,30,0.0,0.0,0.0,0.0,,,1.0,1.0
discovery,realised_sensitivity,30,0.0,0.0,0.0,0.0,,,1.0,1.0
discovery,realised_specificity,30,0.0,0.0,0.0,0.0,,,1.0,1.0
discovery,reward_rate,30,0.0,0.0,0.0,0.0,,,0.0,0.0
discovery,penalty_rate,30,0.0,0.0,0.0,0.0,,,0.0,0.0
discovery,ignore_rate,30,0.0,0.0,0.0,0.0,,,1.0,1.0
discovery,fake_repost_share_decisions,30,0.017946717554616007,0.0009007387208721074,0.016104500022871678,0.019788935086360336,3.637689010164077,1.819142659198427e-18,0.15118001367432002,0.169126731228936
discovery,target_share_decisions,30,0.036184662404601074,0.0017263162595669078,0.032653949218839184,0.039715375590362964,3.8268684788346747,4.5865632372970795e-19,0.005659516287191931,0.041844178691793
discovery,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9998211666666665,0.9998211666666665
discovery,selections_traditional_media_all,30,-3914.366666666667,225.9816872009579,-4376.551111909226,-3452.1822214241074,-3.1624788542755726,7.769411890839884e-17,128795.06666666667,124880.7
discovery,selections_unknown_media_all,30,-2208.6666666666665,229.59697489563328,-2678.245205467214,-1739.0881278661193,-1.7563189525079481,1.5785544681629872e-10,54466.63333333333,52257.96666666667
discovery,selections_fake_news_source_all,30,7235.633333333333,345.1977626868179,6529.624636688362,7941.642029978304,3.826907377823419,4.585292434366711e-19,1131.7,8367.333333333334
discovery,selections_mixed_source_all,30,-1112.6,141.4154684348345,-1401.8271078990051,-823.3728921009947,-1.436420226219366,1.1213617858791641e-08,15570.833333333334,14458.233333333334
flag_only,receiver_period_rate,30,0.0,0.0,0.0,0.0,,,1.0,1.0
flag_only,mean_contacts_per_receiver,30,0.0,0.0,0.0,0.0,,,4.999125999999999,4.999125999999999
flag_only,duplicate_rate,30,-0.009268204045760028,0.0006704763505401045,-0.010639482152233606,-0.00789692593928645,-2.5237800057298045,2.7090471743956442e-14,0.4117039590680211,0.40243575502226114
flag_only,tie_rate,30,9.99999999999988e-07,1.0283342182227601e-06,-1.1031796251285603e-06,3.1031796251285367e-06,0.17754362599213203,0.3388703109352042,0.001291,0.0012920000000000002
flag_only,discovery_rate,30,0.0,0.0,0.0,0.0,,,0.006010500000000003,0.006010500000000003
flag_only,realised_coverage,30,0.0,0.0,0.0,0.0,,,1.0,1.0
flag_only,realised_sensitivity,30,0.0,0.0,0.0,0.0,,,1.0,1.0
flag_only,realised_specificity,30,0.0,0.0,0.0,0.0,,,1.0,1.0
flag_only,reward_rate,30,0.0,0.0,0.0,0.0,,,0.0,0.0
flag_only,penalty_rate,30,0.13990966666666668,0.002041722705306474,0.13573387486875851,0.14408545846457485,12.510951372452105,1.2432831342597234e-33,0.2366425,0.37655216666666663
flag_only,ignore_rate,30,-0.13990966666666668,0.002041722705306472,-0.14408545846457485,-0.13573387486875851,-12.510951372452118,1.2432831342596835e-33,0.7633575,0.6234478333333334
flag_only,delivery_completion,30,-6.804032229114076e-05,0.00030158175348623276,-0.0006848442640475416,0.0005487636194652602,-0.041190842292873925,0.823086010626824,0.9973516072127879,0.9972835668904967
