study,research_question,experiment,condition,seed,strategy,from,to,start_period,end_period,target_reach,memory,memory_half_life,wom,contacts,friends,status
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1011,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1012,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1013,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1014,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1015,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1016,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1017,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1018,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1019,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1020,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1021,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1022,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1023,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1024,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1025,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1026,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1027,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1028,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1029,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1030,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1001,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1002,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1003,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1004,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1005,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1006,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1007,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1008,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1009,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1010,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE
