study,research_question,experiment,condition,seed,strategy,from,to,start_period,end_period,target_reach,memory,memory_half_life,wom,contacts,friends,status,fake_repost_share_all,fake_repost_share_final100,target_share_all,target_share_final100,cumulative_fake_reposts,target_fake_rate_all,target_unique_reposters_p400,fake_repost_share_during,fake_repost_share_post100
news-source-strategies,RQ1,E1-strategy-comparison,control,1029,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0999,0.13196000000000002,0.00956,0.014119999999999999,19980,0.6725,433,0.0999,
news-source-strategies,RQ1,E1-strategy-comparison,control,1030,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.091325,0.0915,0.00999,0.0065,18265,0.68,444,0.091325,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1001,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10529999999999999,0.12415999999999999,0.01156,0.01142,21060,0.6875,445,0.10529999999999999,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1002,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.08264,0.043840000000000004,0.00897,0.0028,16528,0.6875,427,0.08264,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1003,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10851999999999999,0.13082,0.01139,0.01,21704,0.66,457,0.10851999999999999,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1004,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12198,0.0649,0.015695,0.00466,24396,0.6775,489,0.12198,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1005,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.13147999999999999,0.12146,0.014935,0.0124,26296,0.65,482,0.13147999999999999,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1006,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10686,0.07887999999999999,0.013630000000000001,0.008140000000000001,21372,0.6675,474,0.10686,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1007,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.14758500000000002,0.0575,0.02515,0.005900000000000001,29517,0.6975,498,0.14758500000000002,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1008,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12369,0.11756,0.01509,0.01216,24738,0.6625,484,0.12369,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1009,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.157635,0.07809999999999999,0.02485,0.011619999999999998,31527,0.6775,498,0.157635,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1010,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.144955,0.07656,0.0255,0.00426,28991,0.64,497,0.144955,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1011,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.089625,0.05472,0.009335000000000001,0.00276,17925,0.695,428,0.089625,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1012,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12666,0.13936,0.012755,0.01242,25332,0.64,463,0.12666,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1013,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.08832,0.08714,0.008199999999999999,0.00714,17664,0.6725,410,0.08832,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1014,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.114415,0.05312,0.011550000000000001,0.0029,22883,0.7075,452,0.114415,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1015,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12972999999999998,0.1325,0.014715,0.01078,25946,0.6525,481,0.12972999999999998,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1016,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10939,0.11878,0.011720000000000001,0.0083,21878,0.66,447,0.10939,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1017,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.114975,0.131,0.01272,0.00994,22995,0.665,461,0.114975,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1018,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.11797,0.08738,0.011605,0.005,23594,0.6625,457,0.11797,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1019,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.09675,0.055200000000000006,0.00897,0.0034,19350,0.6825,437,0.09675,
