research_question,condition,strategy,start_period,end_period,target_reach,wom,contacts,memory,memory_half_life,n,fake_repost_share_all_mean,fake_repost_share_all_sd,fake_repost_share_final100_mean,fake_repost_share_final100_sd,target_share_all_mean,target_share_all_sd,target_share_final100_mean,target_share_final100_sd,fake_repost_share_decisions_mean,fake_repost_share_decisions_sd,target_share_decisions_mean,target_share_decisions_sd,participation_rate_mean,participation_rate_sd,cumulative_fake_reposts_mean,cumulative_fake_reposts_sd,target_unique_reposters_p400_mean,target_unique_reposters_p400_sd,fake_repost_share_during_mean,fake_repost_share_during_sd,fake_repost_share_post100_mean,fake_repost_share_post100_sd,total_decisions_mean,total_decisions_sd,target_unique_reposters_p25_mean,target_unique_reposters_p25_sd,target_unique_reposters_p50_mean,target_unique_reposters_p50_sd,target_unique_reposters_p100_mean,target_unique_reposters_p100_sd,target_unique_reposters_p200_mean,target_unique_reposters_p200_sd,target_time_to_25pct_final_mean,target_time_to_25pct_final_sd,target_time_to_50pct_final_mean,target_time_to_50pct_final_sd,target_time_to_75pct_final_mean,target_time_to_75pct_final_sd,selections_traditional_media_all_mean,selections_traditional_media_all_sd,selections_unknown_media_all_mean,selections_unknown_media_all_sd,selections_fake_news_source_all_mean,selections_fake_news_source_all_sd,selections_mixed_source_all_mean,selections_mixed_source_all_sd
RQ1,control,NONE,,,,1.0,5.0,-1.0,0.33,30,0.11464199999999997,0.019134167111073387,0.10053999999999995,0.035459177888830476,0.013282166666666647,0.004805115213253859,0.008755333333333316,0.004700977692392065,0.11464199999999998,0.019134167111073394,0.01328216666666667,0.0048051152132538594,1.0,0.0,22928.4,3826.8334222146786,459.46666666666664,23.488417297179407,0.11464199999999997,0.019134167111073387,,,200000.0,0.0,274.96666666666664,67.44882265956107,299.96666666666664,73.37644239707029,349.9,68.0113327270562,403.8666666666667,51.46725328711005,4.733333333333333,2.1485092399203194,24.766666666666666,28.975237148573814,100.0,57.16582050913604,185007.0,15663.752683757844,8199.833333333334,13889.614579899648,2656.4333333333334,961.0230426507718,4136.733333333334,1499.74871305124
RQ1,engagement,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.1144328333333333,0.018204508852409918,0.10068266666666664,0.03527511371797534,0.013114999999999993,0.004526392336751968,0.008635999999999994,0.004313495742114666,0.11443283333333333,0.018204508852409925,0.013115,0.004526392336751963,1.0,0.0,22886.566666666666,3640.901770481985,458.4,22.69376338450113,0.1144328333333333,0.018204508852409918,,,200000.0,0.0,271.8666666666667,65.16648881417363,296.3666666666667,70.5488255154485,346.76666666666665,65.58788961666487,401.3666666666667,49.746587707155825,4.766666666666667,2.1605129233480698,24.9,29.009332624352886,102.6,55.52421031437082,185289.13333333333,13670.683313480395,7846.4,11918.858336324807,2623.0,905.2784673503926,4241.466666666666,1479.3488952992084
RQ1,proximity,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.11430949999999998,0.018974734305985917,0.10039066666666667,0.035486432466442744,0.01367683333333332,0.0051517324644295625,0.009060666666666658,0.005062428157571692,0.11430950000000001,0.018974734305985907,0.013676833333333334,0.005151732464429561,1.0,0.0,22861.9,3794.9468611971824,463.1,21.730877443922015,0.11430949999999998,0.018974734305985917,,,200000.0,0.0,285.03333333333336,70.44855463793927,309.8,75.23269648689761,358.2,67.04419540818604,409.5,49.775184233885476,4.8,2.0744754218505626,24.466666666666665,28.903803989396817,93.66666666666667,59.28501196489852,185532.56666666668,15270.217342994789,7801.366666666667,13459.10729858086,2735.366666666667,1030.3464928859123,3930.7,1456.214273499895
RQ1,informational,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.114568,0.01910797047091191,0.10059866666666666,0.03571624103993851,0.014151166666666654,0.0052604521051497774,0.009443333333333331,0.005289954261801704,0.114568,0.019107970470911905,0.014151166666666666,0.005260452105149777,1.0,0.0,22913.6,3821.5940941823815,465.3666666666667,20.82850058889524,0.114568,0.01910797047091191,,,200000.0,0.0,287.53333333333336,70.02547976338295,313.06666666666666,74.89944216602424,362.5,67.49086783691043,413.6,49.34369260604642,4.833333333333333,2.1186093899363416,24.3,28.675533245199674,88.86666666666666,57.01647271551915,185360.96666666667,15527.580321931133,7890.033333333334,13712.901673577166,2830.233333333333,1052.0904210299555,3918.766666666667,1439.7991402858302
RQ1,credibility,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.1145585,0.019381357873411276,0.10033933333333331,0.035378516560520004,0.013761499999999984,0.005291288570979601,0.008931333333333328,0.0048226754152565126,0.11455850000000002,0.01938135787341128,0.013761500000000003,0.005291288570979598,1.0,0.0,22911.7,3876.271574682256,463.4,22.19133101942723,0.1145585,0.019381357873411276,,,200000.0,0.0,282.76666666666665,69.39923647266234,308.2,75.15840742655841,358.56666666666666,68.92458814222041,410.56666666666666,51.10144294698896,4.833333333333333,2.1348234738188117,24.4,28.597805558444875,95.06666666666666,56.8397222282842,185302.3,15800.519116635773,7955.066666666667,13873.78591627299,2752.3,1058.2577141959196,3990.3333333333335,1506.4237241830763
RQ1,all,"ENGAGEMENT,PROXIMITY,INFORMATIONAL_CAMOUFLAGE,CREDIBILITY_CAMOUFLAGE",1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.1162105,0.018215737244538562,0.10253199999999997,0.037106015721963745,0.017991333333333328,0.006172626296990511,0.01245333333333332,0.007988889411112683,0.11621050000000002,0.018215737244538555,0.017991333333333335,0.006172626296990515,1.0,0.0,23242.1,3643.14744890771,476.6333333333333,17.66056064508855,0.1162105,0.018215737244538562,,,200000.0,0.0,309.03333333333336,75.21944142185644,336.06666666666666,79.08351470977105,385.26666666666665,65.52858461998741,433.2,44.75635188979056,4.933333333333334,2.1323992207796385,21.133333333333333,22.561384974199235,77.03333333333333,55.464485893247925,185372.96666666667,11665.81939562174,7012.566666666667,9854.317606785482,3598.266666666667,1234.5252593981031,4016.2,1400.0302065706815
RQ2,control,NONE,,,,1.0,5.0,-1.0,0.33,30,0.11464199999999997,0.019134167111073387,0.10053999999999995,0.035459177888830476,0.013282166666666647,0.004805115213253859,0.008755333333333316,0.004700977692392065,0.11464199999999998,0.019134167111073394,0.01328216666666667,0.0048051152132538594,1.0,0.0,22928.4,3826.8334222146786,459.46666666666664,23.488417297179407,0.11464199999999997,0.019134167111073387,,,200000.0,0.0,274.96666666666664,67.44882265956107,299.96666666666664,73.37644239707029,349.9,68.0113327270562,403.8666666666667,51.46725328711005,4.733333333333333,2.1485092399203194,24.766666666666666,28.975237148573814,100.0,57.16582050913604,185007.0,15663.752683757844,8199.833333333334,13889.614579899648,2656.4333333333334,961.0230426507718,4136.733333333334,1499.74871305124
RQ2,credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1.0,25.0,,1.0,5.0,-1.0,0.33,30,0.11455983333333332,0.019064769931931288,0.10055133333333331,0.035457835740528486,0.01332833333333333,0.004775662859449613,0.008759333333333322,0.004693559735265518,0.11455983333333332,0.019064769931931288,0.013328333333333334,0.004775662859449611,1.0,0.0,22911.966666666667,3812.9539863862574,461.26666666666665,23.362116893533564,0.1787466666666666,0.049866161654582145,0.11405266666666665,0.04125496684273786,200000.0,0.0,282.76666666666665,69.39923647266234,307.4,74.60498273088642,355.46666666666664,67.53784805233455,407.4,51.09936230116974,4.766666666666667,2.128352662852485,24.0,28.203692592674262,93.66666666666667,55.57680819546406,185096.7,15665.095617327077,8128.733333333334,13920.377905426454,2665.6666666666665,955.1325718899222,4108.9,1482.7854577763783
RQ2,credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1.0,100.0,,1.0,5.0,-1.0,0.33,30,0.11459116666666666,0.019111166111561002,0.10055799999999998,0.03544961352836368,0.013488499999999999,0.004974676587997701,0.008767999999999995,0.0046881908870163745,0.11459116666666666,0.019111166111561016,0.013488500000000002,0.004974676587997698,1.0,0.0,22918.233333333334,3822.233222312203,461.8,23.591933162520352,0.13640066666666667,0.03670059681308714,0.11392466666666663,0.0401285234124602,200000.0,0.0,282.76666666666665,69.39923647266234,308.2,75.15840742655841,358.56666666666666,68.92458814222041,409.3666666666667,51.42619977198884,4.766666666666667,2.128352662852485,24.0,28.140043869289137,91.83333333333333,54.67148492923725,185148.6,15563.067148729458,8070.366666666667,13768.075355649771,2697.7,994.9353175995394,4083.3333333333335,1479.928757216638
RQ2,credibility_p1_permanent,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.1145585,0.019381357873411276,0.10033933333333331,0.035378516560520004,0.013761499999999984,0.005291288570979601,0.008931333333333328,0.0048226754152565126,0.11455850000000002,0.01938135787341128,0.013761500000000003,0.005291288570979598,1.0,0.0,22911.7,3876.271574682256,463.4,22.19133101942723,0.1145585,0.019381357873411276,,,200000.0,0.0,282.76666666666665,69.39923647266234,308.2,75.15840742655841,358.56666666666666,68.92458814222041,410.56666666666666,51.10144294698896,4.833333333333333,2.1348234738188117,24.4,28.597805558444875,95.06666666666666,56.8397222282842,185302.3,15800.519116635773,7955.066666666667,13873.78591627299,2752.3,1058.2577141959196,3990.3333333333335,1506.4237241830763
