study,research_question,experiment,condition,seed,strategy,from,to,start_period,end_period,target_reach,memory,memory_half_life,wom,contacts,friends,status,fake_repost_share_all,fake_repost_share_final100,target_share_all,target_share_final100,fake_repost_share_decisions,target_share_decisions,participation_rate,fake_repost_share_decisions_final100,target_share_decisions_final100,total_decisions,cumulative_fake_reposts,target_fake_rate_all,target_unique_reposters_p400,target_unique_reposters_p25,target_unique_reposters_p50,target_unique_reposters_p100,target_unique_reposters_p200,target_first_repost_period,fake_repost_share_during,fake_repost_share_post100,selections_traditional_media_all,selections_unknown_media_all,selections_fake_news_source_all,selections_mixed_source_all,target_time_to_25pct_final,target_time_to_50pct_final,target_time_to_75pct_final
news-source-strategies,RQ1,E1-strategy-comparison,control,1018,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.118185,0.08768,0.0119499999999999,0.00554,0.118185,0.01195,1.0,0.08768,0.00554,200000,23637,0.6625,457,304,306,334,430,1.0,0.118185,,189529,4727,2390,3354,4,8,105
news-source-strategies,RQ1,E1-strategy-comparison,control,1019,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.09654,0.05504,0.0090899999999999,0.00332,0.09654,0.00909,1.0,0.05504,0.00332,200000,19308,0.6825,433,226,234,279,363,1.0,0.09654,,191720,3743,1818,2719,4,18,143
news-source-strategies,RQ1,E1-strategy-comparison,control,1020,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.1057,0.12052,0.010685,0.0080399999999999,0.1057,0.010685,1.0,0.12052,0.00804,200000,21140,0.7025,440,303,314,348,368,1.0,0.1057,,188564,4053,2137,5246,7,11,68
news-source-strategies,RQ1,E1-strategy-comparison,control,1021,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.1069,0.1547599999999999,0.012125,0.0159,0.1069,0.012125,1.0,0.15476,0.0159,200000,21380,0.685,464,307,316,337,386,1.0,0.1069,,187213,6078,2425,4284,6,15,122
news-source-strategies,RQ1,E1-strategy-comparison,control,1022,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.11984,0.11984,0.01106,0.01196,0.11984,0.01106,1.0,0.11984,0.01196,200000,23968,0.675,448,201,208,275,358,1.0,0.11984,,191124,3849,2212,2815,5,60,171
news-source-strategies,RQ1,E1-strategy-comparison,control,1023,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.134515,0.12536,0.012655,0.01056,0.134515,0.012655,1.0,0.12536,0.01056,200000,26903,0.6625,461,211,249,280,377,1.0,0.134515,,189664,4108,2531,3697,3,43,152
news-source-strategies,RQ1,E1-strategy-comparison,control,1024,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.108275,0.1212999999999999,0.00924,0.00968,0.108275,0.00924,1.0,0.1213,0.00968,200000,21655,0.67,427,157,184,247,333,1.0,0.108275,,191922,3395,1848,2835,5,59,180
news-source-strategies,RQ1,E1-strategy-comparison,control,1025,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.115725,0.0970999999999999,0.011375,0.00588,0.115725,0.011375,1.0,0.0971,0.00588,200000,23145,0.6525,458,330,348,379,424,1.0,0.115725,,187477,4174,2275,6074,9,16,42
news-source-strategies,RQ1,E1-strategy-comparison,control,1026,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.094675,0.04406,0.012055,0.00222,0.094675,0.012055,1.0,0.04406,0.00222,200000,18935,0.6775,463,388,413,431,454,1.0,0.094675,,190120,4175,2411,3294,3,7,13
news-source-strategies,RQ1,E1-strategy-comparison,control,1027,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.104495,0.0784599999999999,0.012645,0.0066,0.104495,0.012645,1.0,0.07846,0.0066,200000,20899,0.65,465,344,384,401,429,1.0,0.104495,,189267,4618,2529,3586,4,8,36
