condition,strategy,start_period,end_period,window,window_start,window_end,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_51_100,151,200,target_share_decisions,30,5.333333333333521e-06,2.0721099987074152e-05,-3.70460745778261e-05,4.771274124449315e-05,0.04699214770102663,0.7986979298278083
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_51_100,151,200,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p1_permanent,CREDIBILITY_CAMOUFLAGE,1,-1,during,1,400,false_rate_agent_period,30,-8.349999999999932e-05,0.00016925464560085612,-0.00042966461825153575,0.0002626646182515371,-0.09007105514361072,0.6254881608877856
credibility_p1_permanent,CREDIBILITY_CAMOUFLAGE,1,-1,during,1,400,false_share_decisions,30,-8.349999999999932e-05,0.00016925464560085612,-0.00042966461825153575,0.0002626646182515371,-0.09007105514361072,0.6254881608877856
credibility_p1_permanent,CREDIBILITY_CAMOUFLAGE,1,-1,during,1,400,target_share_decisions,30,0.0004793333333333331,0.00013751211719509996,0.00019808947509348846,0.0007605771915731777,0.636408593380707,0.0015825778911338659
credibility_p1_permanent,CREDIBILITY_CAMOUFLAGE,1,-1,during,1,400,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,during,101,125,false_rate_agent_period,30,0.00026399999999999883,0.00013862510429294634,-1.9520172443672436e-05,0.0005475201724436701,0.3476973763611945,0.06681888500538435
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,during,101,125,false_share_decisions,30,0.00026399999999999883,0.00013862510429294634,-1.9520172443672436e-05,0.0005475201724436701,0.3476973763611945,0.06681888500538435
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,during,101,125,target_share_decisions,30,0.0005013333333333332,0.0001524630977272283,0.00018951128653023076,0.0008131553801364357,0.6003454378781217,0.0026460614572771613
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,during,101,125,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,post_1_25,126,150,false_rate_agent_period,30,-0.00013600000000000168,0.00013610813821133752,-0.000414372398805324,0.00014237239880532062,-0.18242913024799234,0.32596009579593616
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,post_1_25,126,150,false_share_decisions,30,-0.00013600000000000168,0.00013610813821133752,-0.000414372398805324,0.00014237239880532062,-0.18242913024799234,0.32596009579593616
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,post_1_25,126,150,target_share_decisions,30,-0.00011733333333333337,0.00016172556102274802,-0.0004480992446275989,0.00021343257796093215,-0.1324591961170153,0.47395436223401766
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,post_1_25,126,150,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,post_26_50,151,175,false_rate_agent_period,30,-5.333333333334272e-06,3.637522629651385e-05,-7.972902439424938e-05,6.906235772758084e-05,-0.026769015350807248,0.8844465386092469
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,post_26_50,151,175,false_share_decisions,30,-5.333333333334272e-06,3.637522629651385e-05,-7.972902439424938e-05,6.906235772758084e-05,-0.026769015350807248,0.8844465386092469
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,post_26_50,151,175,target_share_decisions,30,2.666666666666681e-05,6.236218522144549e-05,-0.00010087832309640349,0.0001542116564297371,0.07807046751670343,0.6720940472822172
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,post_26_50,151,175,participation_rate,30,0.0,0.0,0.0,0.0,,
