phase,memory,wom,fake_effect,true_effect,contacts,friends,source_reach,target_reach,cell,timing,scope,fake,fake_se,fake_low,fake_high,n_pairs,target,target_se,target_low,target_high,cumulative,cumulative_se,cumulative_low,cumulative_high
strategy,100,1,-1,1,15,0.33,0,default,strategy_m100_f-1_non-credibility_p1,1,non-credibility,0.009345454545454535,0.0004811423218594557,0.008273402644784596,0.010417506446124474,11,0.01879090909090907,0.0006994256793911266,0.017232491560580807,0.020349326621237333,2238.7272727272725,66.77330589513514,2089.947075586758,2387.507469867787
strategy,100,1,-1,1,15,0.33,0,default,strategy_m100_f-1_non-credibility_p25,25,non-credibility,0.004152272727272746,0.00030476247355810883,0.003473219619310484,0.004831325835235007,11,0.008747727272727254,0.000341943884043437,0.007985828819490982,0.009509625725963526,777.3636363636364,33.59931620713101,702.4996945223556,852.2275782049171
strategy,100,1,-1,1,15,0.33,0,default,strategy_m100_f-1_non-credibility_p50,50,non-credibility,0.00319318181818183,0.00021940236255385987,0.002704322889957996,0.0036820407464056635,11,0.006615909090909036,0.00024811271099113336,0.00606307951987805,0.007168738661940022,488.09090909090907,21.38668002857452,440.43841640424324,535.7434017775748
strategy,100,1,0,1,15,0.33,0,default,strategy_m100_f0_all_p100,100,all,-0.0004886363636363729,0.00015012735640280414,-0.0008231409591834512,-0.00015413176808929475,11,0.007765909090909054,0.0005685535147842816,0.006499092915184844,0.009032725266633264,-271.90909090909093,21.634339095502167,-320.1134023848249,-223.70477943335698
strategy,100,1,0,1,15,0.33,0,default,strategy_m100_f0_all_p1,1,all,-0.0029068181818182035,0.0007959135039595193,-0.004680223982810939,-0.0011334123808254676,11,0.07293863636363636,0.0029293816513906437,0.06641156729387715,0.07946570543339557,-1716.2727272727273,115.63116054617889,-1973.9150085859308,-1458.6304459595237
strategy,100,1,0,1,15,0.33,0,default,strategy_m100_f0_all_p25,25,all,-0.0016340909090909385,0.00029153342096093496,-0.002283667850986467,-0.00098451396719541,11,0.025604545454545467,0.0010115290978031661,0.02335071817181561,0.027858372737275323,-873.0,56.050464275102534,-997.8882171232246,-748.1117828767754
strategy,100,1,0,1,15,0.33,0,default,strategy_m100_f0_all_p50,50,all,-0.0009340909090909021,0.00022381690790568344,-0.0014327860573269892,-0.000435395760854815,11,0.016588636363636337,0.0008892627413427948,0.014607235500026634,0.01857003722724604,-580.5454545454545,45.267159204873224,-681.4069706888806,-479.6839384020284
strategy,100,1,0,1,15,0.33,0,default,strategy_m100_f0_credibility_p100,100,credibility,-0.00021136363636365977,8.773433791615785e-05,-0.0004068479233279435,-1.5879349399375997e-05,11,0.0008500000000000001,0.00010213627260586379,0.0006224262028098136,0.0010775737971901865,-229.9090909090909,14.665639833827134,-262.58617281207864,-197.23200900610314
strategy,100,1,0,1,15,0.33,0,default,strategy_m100_f0_credibility_p1,1,credibility,-8.409090909091118e-05,0.00031234582973904343,-0.0007800407875883635,0.0006118589694065412,11,0.0024795454545454457,0.00018305544930611768,0.002071672495878681,0.00288741841321221,-958.0909090909091,49.53060661586466,-1068.4519780541655,-847.7298401276527
strategy,100,1,0,1,15,0.33,0,default,strategy_m100_f0_credibility_p25,25,credibility,-0.0003886363636363852,0.00012415000257952046,-0.0006652598078580108,-0.00011201291941475953,11,0.0016,0.00013373991040958655,0.0013020089095552368,0.0018979910904447634,-649.5454545454545,32.11382133383004,-721.0995075451069,-577.9914015458021
strategy,100,1,0,1,15,0.33,0,default,strategy_m100_f0_credibility_p50,50,credibility,-0.0002886363636363962,9.696318633446602e-05,-0.0005046838063206045,-7.258892095218794e-05,11,0.0012522727272727364,0.00013925347006671213,0.0009419966603431875,0.0015625487942022853,-463.1818181818182,30.914197439134423,-532.0629425739281,-394.3006937897082
strategy,100,1,0,1,15,0.33,0,default,strategy_m100_f0_non-credibility_p100,100,non-credibility,0.001484090909090887,0.00012061738564156477,0.0012153386259179052,0.0017528431922638687,11,0.003013636363636345,0.0002531250956534921,0.0024496385035980574,0.0035776342236746327,175.8181818181818,9.322327237550017,155.04674230926673,196.5896213270969
strategy,100,1,0,1,15,0.33,0,default,strategy_m100_f0_non-credibility_p1,1,non-credibility,0.008304545454545455,0.0005529550592233175,0.00707248480368761,0.0095366061054033,11,0.01623181818181819,0.0008031973811323448,0.014442182891103586,0.018021453472532794,2069.0,56.96298638749392,1942.0785569048596,2195.9214430951406
strategy,100,1,0,1,15,0.33,0,default,strategy_m100_f0_non-credibility_p25,25,non-credibility,0.0036749999999999812,0.0002442521052296008,0.0031307723946584678,0.004219227605341495,11,0.00780227272727271,0.0004086626546300277,0.0068917155891356965,0.008712829865409723,725.3636363636364,24.797827150880757,670.1106342439189,780.6166384833539
strategy,100,1,0,1,15,0.33,0,default,strategy_m100_f0_non-credibility_p50,50,non-credibility,0.00285681818181818,0.0002040802791319639,0.0024020989829600476,0.0033115373806763123,11,0.005624999999999981,0.0002979856616440678,0.0049610465699559975,0.006288953430043964,440.8181818181818,19.66807204204926,396.99498635762683,484.6413772787368
strategy,100,1,1,1,15,0.33,0,default,strategy_m100_f1_all_p100,100,all,-0.0005113636363636406,0.00011596255451475021,-0.0007697443094535319,-0.0002529829632737494,11,0.007159090909090846,0.0003565024660005386,0.00636475391376613,0.007953427904415562,-261.72727272727275,15.542370773347235,-296.3578328993437,-227.09671255520183
strategy,100,1,1,1,15,0.33,0,default,strategy_m100_f1_all_p1,1,all,-0.002661363636363622,0.0008193634144619066,-0.004487019094022328,-0.0008357081787049158,11,0.06694772727272726,0.0025299803595748922,0.061310579738796236,0.07258487480665828,-1672.7272727272727,96.42633466293805,-1887.5785353443957,-1457.8760101101498
strategy,100,1,1,1,15,0.33,0,default,strategy_m100_f1_all_p25,25,all,-0.0010613636363636483,0.0002861850092232887,-0.001699023574270108,-0.00042370369845718856,11,0.023731818181818173,0.0011027501309180034,0.02127473777108682,0.026188898592549525,-817.0909090909091,43.93123853260075,-914.9758084812734,-719.2060097005449
strategy,100,1,1,1,15,0.33,0,default,strategy_m100_f1_all_p50,50,all,-0.0007159090909090814,0.00019076022334312567,-0.0011409493559534785,-0.00029086882586468416,11,0.015390909090909073,0.0006513471418326538,0.013939617218061523,0.016842200963756625,-550.0909090909091,36.0891458236544,-630.5025370355917,-469.6792811462266
